id,Longitude,Latitude,RCP85_P5_2050s,RCP85_P25_2050s,RCP85_P50_2050s,RCP85_P75_2050s,RCP85_P95_2050s,RCP60_P5_2050s,RCP60_P25_2050s,RCP60_P50_2050s,RCP60_P75_2050s,RCP60_P95_2050s,RCP45_P5_2050s,RCP45_P25_2050s,RCP45_P50_2050s,RCP45_P75_2050s,RCP45_P95_2050s,RCP26_P5_2050s,RCP26_P25_2050s,RCP26_P50_2050s,RCP26_P75_2050s,RCP26_P95_2050s,RCP85_P5_2080s,RCP85_P25_2080s,RCP85_P50_2080s,RCP85_P75_2080s,RCP85_P95_2080s,RCP60_P5_2080s,RCP60_P25_2080s,RCP60_P50_2080s,RCP60_P75_2080s,RCP60_P95_2080s,RCP45_P5_2080s,RCP45_P25_2080s,RCP45_P50_2080s,RCP45_P75_2080s,RCP45_P95_2080s,RCP26_P5_2080s,RCP26_P25_2080s,RCP26_P50_2080s,RCP26_P75_2080s,RCP26_P95_2080s,REF_1986_2005
5576,-87.0,49.25,-0.2,1.7,3.0,4.5,7.5,-1.3,1.0,2.3,4.0,6.9,-0.6,1.1,2.5,3.8,6.6,-1.1,0.6,1.9,3.4,6.0,1.8,3.8,5.2,6.9,10.8,0.2,2.1,3.9,5.9,8.9,-0.0,1.8,3.1,4.6,7.6,-1.6,0.5,1.8,3.3,5.5,0.8
5577,-86.875,49.25,-0.2,1.7,3.1,4.6,7.5,-1.4,1.0,2.3,4.1,7.0,-0.6,1.1,2.5,3.9,6.7,-1.1,0.6,1.9,3.4,6.1,1.8,3.9,5.3,6.9,10.9,0.2,2.1,3.9,5.9,9.0,-0.0,1.8,3.1,4.6,7.6,-1.5,0.5,1.8,3.3,5.5,0.8
5578,-86.75,49.25,-0.2,1.7,3.1,4.6,7.6,-1.4,0.9,2.3,4.1,7.1,-0.6,1.1,2.5,3.9,6.7,-1.1,0.6,1.9,3.4,6.1,1.8,3.9,5.3,7.0,11.0,0.2,2.1,3.9,5.9,9.0,-0.0,1.8,3.1,4.6,7.7,-1.5,0.5,1.8,3.3,5.5,0.9
5579,-86.625,49.25,-0.2,1.7,3.1,4.6,7.7,-1.5,0.9,2.3,4.2,7.1,-0.6,1.1,2.5,3.9,6.8,-1.1,0.6,1.9,3.5,6.2,1.9,3.9,5.3,7.0,11.1,0.2,2.1,4.0,6.0,9.1,-0.0,1.8,3.1,4.6,7.7,-1.5,0.5,1.8,3.4,5.5,0.9
5580,-86.5,49.25,-0.2,1.7,3.1,4.6,7.7,-1.5,0.9,2.3,4.2,7.2,-0.6,1.1,2.5,3.9,6.8,-1.1,0.6,1.9,3.4,6.2,1.7,3.9,5.3,7.0,11.2,0.2,2.1,3.9,6.0,9.1,-0.0,1.8,3.1,4.7,7.8,-1.6,0.4,1.8,3.4,5.6,1.0
5581,-86.375,49.25,-0.2,1.7,3.1,4.6,7.7,-1.5,0.9,2.2,4.2,7.2,-0.7,1.0,2.5,3.9,6.8,-1.2,0.6,1.9,3.5,6.3,1.7,3.9,5.3,7.0,11.3,0.2,2.1,3.9,6.0,9.2,-0.0,1.8,3.1,4.7,7.8,-1.6,0.4,1.8,3.4,5.6,1.0
5582,-86.25,49.25,-0.2,1.7,3.1,4.7,7.7,-1.5,0.9,2.3,4.2,7.3,-0.7,1.0,2.5,3.9,6.9,-1.2,0.6,1.9,3.5,6.3,1.7,3.9,5.3,7.1,11.3,0.2,2.1,3.9,6.1,9.2,-0.0,1.8,3.1,4.7,7.8,-1.6,0.4,1.8,3.4,5.7,1.0
5583,-86.125,49.25,-0.2,1.7,3.1,4.6,7.7,-1.5,0.8,2.3,4.2,7.1,-0.7,1.0,2.4,3.9,6.8,-1.2,0.6,1.9,3.5,6.2,1.7,3.9,5.3,7.0,11.0,0.2,2.1,3.9,6.1,9.2,-0.1,1.8,3.1,4.7,7.6,-1.5,0.4,1.8,3.4,5.7,1.1
5584,-86.0,49.25,-0.2,1.7,3.1,4.6,7.6,-1.5,0.8,2.3,4.2,7.1,-0.8,1.0,2.4,3.9,6.8,-1.2,0.6,1.9,3.5,6.1,1.7,3.8,5.3,7.0,11.0,0.2,2.1,3.9,6.1,9.3,-0.1,1.8,3.1,4.6,7.7,-1.6,0.4,1.7,3.3,5.7,1.1
5585,-85.875,49.25,-0.2,1.7,3.1,4.6,7.7,-1.6,0.8,2.3,4.2,7.1,-0.8,1.0,2.4,3.9,6.8,-1.3,0.6,1.9,3.5,6.1,1.7,3.9,5.3,7.0,11.1,0.2,2.1,3.9,6.1,9.3,-0.1,1.8,3.1,4.6,7.7,-1.6,0.4,1.7,3.3,5.8,1.1
5586,-85.75,49.25,-0.3,1.7,3.0,4.6,7.7,-1.6,0.8,2.3,4.2,7.1,-0.8,1.0,2.4,3.9,6.8,-1.3,0.6,1.8,3.5,6.2,1.7,3.9,5.3,7.0,11.1,0.1,2.0,3.9,6.1,9.4,-0.1,1.8,3.1,4.6,7.7,-1.6,0.4,1.7,3.3,5.8,1.1
5587,-85.625,49.25,-0.3,1.7,3.1,4.6,7.7,-1.6,0.8,2.3,4.2,7.2,-0.8,1.0,2.4,3.9,6.9,-1.3,0.6,1.8,3.5,6.2,1.7,3.9,5.3,7.0,11.2,0.1,2.0,3.9,6.2,9.4,-0.1,1.8,3.1,4.6,7.8,-1.6,0.4,1.7,3.3,5.8,1.1
5588,-85.5,49.25,-0.3,1.7,3.0,4.6,7.7,-1.6,0.7,2.2,4.2,7.2,-0.8,1.0,2.4,3.9,6.9,-1.3,0.6,1.8,3.4,6.2,1.7,3.9,5.3,7.0,11.2,0.1,2.0,3.9,6.1,9.4,-0.1,1.7,3.1,4.6,7.8,-1.6,0.4,1.7,3.3,5.7,1.1
5589,-85.375,49.25,-0.3,1.7,3.1,4.6,7.9,-1.6,0.7,2.2,4.2,7.3,-0.8,1.0,2.4,3.9,7.0,-1.4,0.6,1.8,3.5,6.3,1.7,3.8,5.3,7.1,11.4,0.1,2.0,3.8,6.0,9.7,-0.1,1.7,3.1,4.6,7.9,-1.6,0.3,1.7,3.4,5.9,1.1
5590,-85.25,49.25,-0.3,1.7,3.0,4.6,7.9,-1.6,0.8,2.2,4.2,7.3,-0.9,1.0,2.4,3.9,7.0,-1.4,0.5,1.8,3.4,6.3,1.7,3.8,5.3,7.0,11.4,0.1,2.0,3.8,6.0,9.8,-0.1,1.7,3.0,4.6,7.9,-1.6,0.3,1.7,3.4,5.9,1.1
5591,-85.125,49.25,-0.3,1.6,3.0,4.6,7.9,-1.6,0.7,2.2,4.2,7.3,-0.9,0.9,2.4,3.9,7.0,-1.4,0.5,1.8,3.4,6.3,1.6,3.7,5.3,7.0,11.4,0.1,2.0,3.8,6.1,9.8,-0.1,1.6,3.0,4.6,8.0,-1.6,0.3,1.7,3.3,5.9,1.1
5592,-85.0,49.25,-0.4,1.6,3.0,4.6,7.9,-1.6,0.7,2.2,4.2,7.3,-0.9,1.0,2.4,3.9,7.0,-1.4,0.5,1.8,3.4,6.3,1.6,3.8,5.3,7.0,11.4,0.1,1.9,3.8,6.1,9.8,-0.1,1.6,3.0,4.6,8.0,-1.6,0.3,1.7,3.3,5.9,1.0
5593,-84.875,49.25,-0.4,1.6,3.0,4.6,7.9,-1.7,0.7,2.2,4.2,7.3,-0.9,1.0,2.4,3.9,7.0,-1.4,0.5,1.8,3.4,6.3,1.6,3.8,5.3,7.0,11.4,0.0,1.9,3.7,6.1,9.8,-0.1,1.7,3.0,4.6,7.9,-1.7,0.3,1.7,3.3,5.9,1.0
5594,-84.75,49.25,-0.4,1.6,3.0,4.6,7.9,-1.7,0.7,2.2,4.2,7.3,-0.9,1.0,2.4,3.9,7.0,-1.4,0.5,1.8,3.4,6.3,1.6,3.8,5.3,7.0,11.4,0.0,1.9,3.7,6.1,9.7,-0.1,1.7,3.0,4.6,7.9,-1.6,0.3,1.7,3.3,5.9,1.0
5595,-84.625,49.25,-0.4,1.6,3.0,4.6,7.9,-1.7,0.7,2.1,4.1,7.3,-0.9,0.9,2.4,3.9,7.0,-1.4,0.5,1.8,3.4,6.3,1.6,3.7,5.3,7.0,11.3,0.0,1.8,3.6,6.0,9.7,-0.1,1.7,3.0,4.6,7.9,-1.6,0.3,1.6,3.2,5.9,1.0
5596,-84.5,49.25,-0.3,1.6,3.0,4.6,7.9,-1.6,0.7,2.1,4.1,7.3,-0.9,0.9,2.4,3.9,7.0,-1.4,0.5,1.8,3.4,6.3,1.6,3.7,5.3,7.0,11.3,0.0,1.8,3.7,6.0,9.7,-0.1,1.6,3.0,4.6,7.9,-1.6,0.3,1.7,3.2,5.8,1.0
5597,-84.375,49.25,-0.3,1.6,3.0,4.5,7.8,-1.7,0.7,2.1,4.1,7.2,-0.9,0.9,2.4,3.9,7.0,-1.4,0.5,1.7,3.4,6.4,1.6,3.7,5.3,7.0,11.2,0.0,1.8,3.6,6.0,9.6,-0.1,1.6,3.0,4.6,7.9,-1.6,0.3,1.7,3.2,5.8,1.0
5598,-84.25,49.25,-0.3,1.6,3.0,4.5,7.6,-1.8,0.7,2.1,4.0,7.2,-0.9,0.9,2.3,3.9,6.9,-1.4,0.5,1.7,3.4,6.3,1.6,3.7,5.2,7.0,11.1,0.0,1.8,3.6,6.0,9.6,-0.1,1.6,2.9,4.5,7.8,-1.6,0.3,1.6,3.2,5.8,1.0
5599,-84.125,49.25,-0.3,1.6,3.0,4.5,7.6,-1.8,0.7,2.1,4.0,7.2,-0.9,0.9,2.3,3.9,6.9,-1.4,0.5,1.7,3.3,6.3,1.6,3.7,5.3,7.0,11.1,0.0,1.7,3.6,6.0,9.6,-0.1,1.6,2.9,4.5,7.8,-1.6,0.3,1.7,3.2,5.8,1.0
5600,-84.0,49.25,-0.3,1.6,3.0,4.5,7.6,-1.8,0.7,2.1,4.0,7.2,-0.9,0.9,2.3,3.9,6.8,-1.4,0.5,1.7,3.3,6.2,1.6,3.7,5.3,7.0,11.1,0.0,1.7,3.6,5.9,9.6,-0.1,1.6,2.9,4.5,7.8,-1.6,0.3,1.6,3.2,5.8,1.0
5601,-83.875,49.25,-0.3,1.6,3.0,4.5,7.6,-1.8,0.7,2.1,4.0,7.2,-1.0,0.9,2.3,3.9,6.8,-1.4,0.5,1.7,3.3,6.2,1.6,3.7,5.3,7.0,11.1,0.1,1.7,3.6,5.9,9.6,-0.1,1.6,2.9,4.5,7.7,-1.6,0.3,1.6,3.2,5.8,1.0
5602,-83.75,49.25,-0.3,1.6,3.0,4.5,7.6,-1.8,0.7,2.1,4.0,7.2,-1.0,0.9,2.3,3.9,6.8,-1.4,0.5,1.7,3.3,6.2,1.6,3.7,5.2,7.0,11.1,0.1,1.7,3.6,5.9,9.5,-0.1,1.6,2.9,4.5,7.7,-1.6,0.3,1.6,3.2,5.8,1.0
5603,-83.625,49.25,-0.3,1.6,3.0,4.5,7.6,-1.8,0.7,2.1,4.0,7.2,-1.0,0.9,2.3,3.9,6.8,-1.4,0.5,1.7,3.3,6.2,1.6,3.7,5.2,7.0,11.1,0.1,1.7,3.6,5.9,9.5,-0.1,1.6,2.9,4.5,7.7,-1.6,0.2,1.6,3.2,5.8,1.0
5604,-83.5,49.25,-0.3,1.6,3.0,4.5,7.6,-1.8,0.7,2.1,4.0,7.2,-1.0,0.9,2.3,3.9,6.8,-1.3,0.5,1.7,3.3,6.2,1.6,3.7,5.2,7.0,11.1,0.1,1.7,3.6,5.9,9.5,-0.1,1.6,2.9,4.5,7.7,-1.6,0.2,1.6,3.2,5.8,1.0
5605,-83.375,49.25,-0.2,1.6,3.0,4.5,7.6,-1.8,0.7,2.1,4.0,7.2,-1.0,0.9,2.3,3.8,6.8,-1.4,0.5,1.7,3.3,6.2,1.6,3.7,5.2,7.0,11.0,0.1,1.7,3.6,5.9,9.5,-0.1,1.6,2.9,4.5,7.7,-1.5,0.2,1.6,3.2,5.8,1.0
5606,-83.25,49.25,-0.2,1.6,2.9,4.5,7.6,-1.8,0.7,2.1,4.0,7.1,-0.9,0.9,2.3,3.8,6.7,-1.4,0.5,1.7,3.3,6.2,1.6,3.7,5.2,6.9,10.8,0.1,1.7,3.5,5.9,9.2,-0.1,1.6,2.9,4.5,7.7,-1.5,0.2,1.6,3.1,5.6,1.0
5607,-83.125,49.25,-0.2,1.6,2.9,4.4,7.6,-1.8,0.7,2.1,4.0,7.1,-0.9,0.9,2.3,3.8,6.7,-1.4,0.5,1.7,3.2,6.1,1.6,3.7,5.2,6.9,10.8,0.1,1.7,3.5,5.8,9.2,-0.1,1.6,2.9,4.5,7.6,-1.5,0.2,1.5,3.1,5.6,1.0
5608,-83.0,49.25,-0.3,1.6,2.9,4.4,7.6,-1.7,0.7,2.1,4.0,7.1,-0.9,0.9,2.3,3.8,6.8,-1.4,0.4,1.7,3.2,6.1,1.7,3.7,5.2,6.9,10.9,0.1,1.7,3.5,5.8,9.3,-0.1,1.6,2.9,4.4,7.6,-1.5,0.2,1.5,3.1,5.6,1.0
5609,-82.875,49.25,-0.3,1.6,2.9,4.4,7.6,-1.7,0.7,2.1,4.0,7.1,-0.9,0.9,2.3,3.8,6.7,-1.4,0.4,1.7,3.2,6.1,1.6,3.7,5.2,6.9,10.9,0.1,1.7,3.5,5.8,9.3,-0.1,1.6,2.9,4.5,7.6,-1.5,0.2,1.5,3.1,5.6,1.0
5610,-82.75,49.25,-0.3,1.6,2.9,4.4,7.6,-1.7,0.7,2.1,4.0,7.1,-0.9,0.9,2.3,3.8,6.7,-1.4,0.4,1.7,3.2,6.1,1.6,3.7,5.2,6.9,10.9,0.1,1.7,3.5,5.8,9.3,-0.1,1.6,2.9,4.5,7.6,-1.5,0.2,1.5,3.1,5.6,1.0
5611,-82.625,49.25,-0.3,1.6,2.9,4.4,7.6,-1.7,0.7,2.1,4.0,7.2,-0.9,0.9,2.3,3.8,6.7,-1.4,0.4,1.7,3.2,6.1,1.7,3.7,5.2,7.0,10.9,0.1,1.7,3.5,5.8,9.3,-0.1,1.6,2.9,4.5,7.6,-1.5,0.2,1.5,3.1,5.6,0.9
5612,-82.5,49.25,-0.3,1.6,2.9,4.4,7.6,-1.7,0.6,2.1,3.9,7.3,-0.9,0.9,2.3,3.8,6.7,-1.4,0.4,1.7,3.2,6.2,1.7,3.6,5.2,7.0,10.9,0.1,1.7,3.4,5.8,9.3,-0.1,1.6,2.9,4.5,7.6,-1.5,0.2,1.5,3.1,5.6,0.9
5613,-82.375,49.25,-0.3,1.6,2.9,4.4,7.5,-1.7,0.6,2.1,4.0,7.2,-0.9,0.8,2.3,3.8,6.7,-1.4,0.4,1.7,3.3,6.2,1.6,3.6,5.2,7.0,10.8,0.1,1.7,3.5,5.8,9.2,-0.1,1.6,2.9,4.5,7.6,-1.5,0.2,1.5,3.1,5.6,0.9
5614,-82.25,49.25,-0.3,1.6,2.9,4.4,7.5,-1.7,0.6,2.1,4.0,7.2,-0.9,0.8,2.3,3.7,6.7,-1.4,0.5,1.7,3.3,6.2,1.7,3.6,5.2,7.0,10.8,0.1,1.7,3.5,5.8,9.2,-0.1,1.6,2.9,4.5,7.6,-1.5,0.2,1.6,3.1,5.6,0.9
5615,-82.125,49.25,-0.3,1.6,2.9,4.4,7.5,-1.7,0.7,2.1,4.0,7.2,-0.9,0.8,2.3,3.8,6.7,-1.4,0.5,1.7,3.3,6.2,1.7,3.7,5.2,7.0,10.9,0.1,1.7,3.5,5.8,9.2,-0.1,1.6,2.9,4.5,7.6,-1.5,0.2,1.6,3.1,5.7,0.8
5616,-82.0,49.25,-0.3,1.6,2.9,4.4,7.5,-1.7,0.7,2.0,4.0,7.2,-0.9,0.8,2.3,3.7,6.7,-1.4,0.5,1.7,3.3,6.2,1.7,3.6,5.2,7.0,10.9,0.1,1.7,3.5,5.8,9.2,-0.1,1.6,2.9,4.5,7.6,-1.5,0.3,1.6,3.1,5.7,0.8
5617,-81.875,49.25,-0.3,1.6,2.9,4.4,7.5,-1.8,0.6,2.0,4.0,7.2,-0.9,0.8,2.3,3.7,6.7,-1.5,0.4,1.7,3.3,6.2,1.6,3.6,5.2,7.0,10.9,0.1,1.6,3.5,5.8,9.2,-0.1,1.6,2.9,4.5,7.6,-1.6,0.2,1.5,3.1,5.7,0.8
5618,-81.75,49.25,-0.3,1.6,2.9,4.4,7.5,-1.9,0.6,2.0,3.9,7.2,-0.9,0.8,2.3,3.7,6.7,-1.5,0.4,1.7,3.3,6.2,1.7,3.6,5.2,7.0,10.9,0.1,1.6,3.5,5.8,9.2,-0.1,1.6,2.9,4.5,7.6,-1.6,0.2,1.5,3.1,5.7,0.7
5619,-81.625,49.25,-0.3,1.6,2.9,4.4,7.6,-1.9,0.6,2.0,3.9,7.2,-0.9,0.8,2.4,3.7,6.8,-1.5,0.4,1.7,3.3,6.3,1.7,3.7,5.2,7.0,10.9,0.1,1.6,3.5,5.8,9.2,-0.1,1.6,2.9,4.5,7.6,-1.6,0.2,1.5,3.2,5.7,0.7
5620,-81.5,49.25,-0.4,1.6,2.9,4.4,7.6,-1.9,0.6,2.0,3.9,7.2,-0.9,0.8,2.4,3.7,6.8,-1.4,0.4,1.7,3.3,6.3,1.6,3.7,5.2,7.0,11.0,0.1,1.6,3.5,5.8,9.2,-0.1,1.6,2.9,4.5,7.6,-1.6,0.2,1.5,3.2,5.8,0.6
5621,-81.375,49.25,-0.3,1.6,3.0,4.4,7.6,-1.9,0.6,2.0,3.9,7.2,-0.9,0.8,2.4,3.7,6.8,-1.4,0.4,1.7,3.3,6.3,1.6,3.7,5.2,7.1,11.0,0.1,1.5,3.5,5.8,9.3,-0.2,1.6,2.9,4.5,7.6,-1.7,0.2,1.5,3.2,5.8,0.6
5622,-81.25,49.25,-0.3,1.6,3.0,4.4,7.6,-1.9,0.6,2.0,4.0,7.2,-0.9,0.8,2.4,3.8,6.8,-1.4,0.4,1.7,3.3,6.3,1.6,3.7,5.2,7.1,11.0,0.1,1.5,3.5,5.8,9.3,-0.2,1.6,2.9,4.5,7.6,-1.7,0.2,1.6,3.2,5.8,0.6
5623,-81.125,49.25,-0.4,1.6,3.0,4.4,7.6,-1.9,0.6,2.1,4.0,7.2,-0.9,0.8,2.4,3.8,6.8,-1.4,0.4,1.7,3.3,6.3,1.6,3.7,5.2,7.1,11.0,0.1,1.6,3.5,5.8,9.3,-0.2,1.6,2.9,4.5,7.7,-1.7,0.2,1.6,3.2,5.8,0.5
5624,-81.0,49.25,-0.4,1.6,3.0,4.4,7.6,-1.9,0.6,2.1,4.0,7.2,-0.9,0.8,2.4,3.8,6.8,-1.4,0.4,1.7,3.3,6.3,1.6,3.7,5.2,7.1,11.0,0.0,1.6,3.5,5.8,9.3,-0.2,1.6,2.9,4.5,7.7,-1.7,0.2,1.6,3.2,5.8,0.5
5625,-80.875,49.25,-0.4,1.6,3.0,4.4,7.7,-1.9,0.6,2.1,4.0,7.2,-0.8,0.8,2.4,3.8,6.9,-1.4,0.4,1.7,3.3,6.3,1.6,3.7,5.2,7.1,11.0,-0.0,1.6,3.5,5.8,9.4,-0.2,1.6,2.9,4.6,7.7,-1.7,0.2,1.6,3.2,5.8,0.4
5626,-80.75,49.25,-0.4,1.6,2.9,4.5,7.7,-1.9,0.6,2.1,4.0,7.2,-0.8,0.8,2.4,3.8,6.9,-1.4,0.4,1.7,3.3,6.3,1.6,3.7,5.2,7.1,11.1,-0.0,1.6,3.5,5.8,9.4,-0.2,1.6,2.9,4.6,7.7,-1.7,0.2,1.5,3.2,5.8,0.4
5627,-80.625,49.25,-0.4,1.6,2.9,4.5,7.7,-1.9,0.6,2.1,4.0,7.3,-0.8,0.8,2.4,3.8,6.9,-1.4,0.4,1.7,3.3,6.3,1.6,3.7,5.2,7.1,11.1,-0.0,1.6,3.5,5.8,9.4,-0.2,1.6,2.9,4.6,7.7,-1.8,0.2,1.6,3.2,5.8,0.3
5628,-80.5,49.25,-0.4,1.6,3.0,4.5,7.7,-2.0,0.6,2.1,4.0,7.3,-0.9,0.8,2.4,3.8,6.9,-1.4,0.4,1.7,3.3,6.5,1.6,3.7,5.3,7.1,11.1,-0.1,1.6,3.5,5.8,9.4,-0.2,1.6,2.9,4.5,7.7,-1.8,0.2,1.5,3.2,5.8,0.3
5629,-80.375,49.25,-0.4,1.6,3.0,4.5,7.7,-2.0,0.6,2.1,3.9,7.3,-0.9,0.8,2.4,3.8,6.9,-1.5,0.4,1.7,3.3,6.4,1.6,3.7,5.3,7.1,11.0,-0.1,1.6,3.5,5.9,9.2,-0.2,1.6,2.9,4.5,7.7,-1.8,0.2,1.5,3.1,5.8,0.2
5630,-80.25,49.25,-0.4,1.6,3.0,4.5,7.7,-2.0,0.6,2.1,4.0,7.3,-0.9,0.8,2.4,3.8,6.9,-1.5,0.4,1.7,3.3,6.4,1.6,3.7,5.3,7.1,11.1,-0.2,1.6,3.5,5.9,9.3,-0.2,1.6,2.9,4.5,7.7,-1.8,0.2,1.6,3.1,5.8,0.1
5631,-80.125,49.25,-0.5,1.6,3.0,4.5,7.7,-2.0,0.6,2.1,3.9,7.3,-0.9,0.8,2.4,3.8,6.9,-1.5,0.4,1.7,3.3,6.4,1.6,3.7,5.3,7.1,11.1,-0.2,1.6,3.4,5.9,9.3,-0.2,1.6,2.9,4.5,7.8,-1.8,0.2,1.5,3.1,5.8,0.1
5632,-80.0,49.25,-0.5,1.6,3.0,4.5,7.7,-2.0,0.5,2.1,3.9,7.3,-0.8,0.8,2.4,3.8,6.9,-1.5,0.4,1.7,3.3,6.5,1.6,3.7,5.3,7.1,11.2,-0.3,1.6,3.4,5.9,9.4,-0.2,1.6,2.9,4.6,7.8,-1.8,0.2,1.5,3.1,5.9,0.0
5633,-79.875,49.25,-0.5,1.6,3.0,4.5,7.8,-2.0,0.5,2.1,3.9,7.3,-0.8,0.8,2.4,3.8,6.9,-1.5,0.4,1.7,3.3,6.5,1.6,3.7,5.3,7.1,11.2,-0.1,1.5,3.4,5.9,9.4,-0.2,1.6,2.9,4.6,7.8,-1.8,0.2,1.5,3.1,5.9,0.0
5634,-79.75,49.25,-0.5,1.6,3.0,4.5,7.8,-2.0,0.5,2.0,3.9,7.2,-0.9,0.8,2.3,3.8,6.9,-1.5,0.4,1.7,3.3,6.6,1.6,3.7,5.3,7.1,11.2,-0.2,1.5,3.4,5.9,9.4,-0.2,1.6,2.9,4.6,7.8,-1.8,0.2,1.5,3.1,5.9,0.0
5635,-79.625,49.25,-0.4,1.6,3.0,4.5,7.8,-2.0,0.5,2.1,3.9,7.2,-0.9,0.9,2.3,3.8,6.9,-1.4,0.4,1.7,3.3,6.6,1.6,3.7,5.3,7.1,11.3,-0.2,1.6,3.4,5.9,9.4,-0.2,1.6,2.9,4.6,7.8,-1.8,0.2,1.5,3.1,5.9,0.0
5636,-79.5,49.25,-0.4,1.6,3.0,4.5,7.8,-2.0,0.5,2.1,3.9,7.2,-0.9,0.9,2.3,3.8,6.9,-1.4,0.4,1.7,3.3,6.6,1.6,3.7,5.3,7.1,11.3,-0.2,1.5,3.4,5.9,9.4,-0.2,1.6,2.9,4.6,7.8,-1.8,0.2,1.5,3.1,5.9,0.0
5637,-94.75,49.125,-0.3,1.7,2.9,4.5,7.1,-1.4,0.9,2.4,4.0,6.7,-0.9,1.1,2.5,3.8,6.7,-1.3,0.7,2.0,3.4,5.9,1.1,3.5,4.8,6.6,10.1,0.1,2.0,3.8,5.7,8.4,-0.0,1.7,3.1,4.5,7.4,-1.6,0.4,1.9,3.4,5.7,3.6
5638,-94.625,49.125,-0.3,1.6,2.9,4.5,7.1,-1.4,0.9,2.4,4.0,6.7,-0.9,1.1,2.5,3.8,6.6,-1.3,0.7,2.0,3.4,5.9,1.1,3.5,4.8,6.6,10.1,0.1,2.0,3.8,5.7,8.4,-0.0,1.7,3.1,4.5,7.4,-1.6,0.4,1.9,3.4,5.7,3.6
5639,-94.5,49.125,-0.3,1.6,2.9,4.5,7.1,-1.4,0.9,2.4,4.0,6.6,-0.9,1.1,2.5,3.8,6.6,-1.2,0.7,2.0,3.4,5.9,1.2,3.5,4.8,6.6,10.0,0.1,2.0,3.8,5.7,8.4,-0.1,1.7,3.1,4.5,7.5,-1.6,0.4,1.9,3.4,5.7,3.6
5640,-94.375,49.125,-0.3,1.7,2.9,4.5,7.1,-1.4,0.9,2.4,4.0,6.6,-0.8,1.1,2.5,3.8,6.6,-1.2,0.7,2.0,3.4,5.9,1.2,3.5,4.8,6.6,10.0,0.2,2.0,3.8,5.7,8.4,-0.0,1.7,3.1,4.5,7.4,-1.5,0.4,1.9,3.4,5.7,3.6
5641,-94.25,49.125,-0.3,1.6,2.9,4.4,7.1,-1.2,0.9,2.4,4.0,6.4,-0.8,1.1,2.4,3.7,6.5,-1.3,0.6,1.9,3.3,5.8,1.3,3.5,4.8,6.6,9.9,0.1,2.0,3.8,5.6,8.3,-0.1,1.7,3.1,4.5,7.3,-1.6,0.4,1.9,3.2,5.6,3.7
5642,-94.125,49.125,-0.3,1.6,2.9,4.4,7.1,-1.2,0.9,2.4,4.0,6.4,-0.8,1.1,2.4,3.7,6.5,-1.3,0.6,1.9,3.4,5.8,1.3,3.5,4.8,6.6,9.9,0.1,1.9,3.8,5.6,8.3,-0.1,1.7,3.0,4.5,7.3,-1.6,0.4,1.8,3.2,5.6,3.6
5643,-94.0,49.125,-0.3,1.7,2.9,4.5,7.1,-1.2,0.9,2.4,4.0,6.5,-0.8,1.1,2.4,3.7,6.6,-1.3,0.6,2.0,3.3,5.8,1.3,3.5,4.8,6.6,10.1,0.1,1.9,3.8,5.7,8.4,-0.1,1.7,3.0,4.5,7.4,-1.6,0.4,1.8,3.3,5.7,3.6
5644,-93.875,49.125,-0.3,1.6,2.9,4.4,7.1,-1.2,0.9,2.4,4.0,6.5,-0.8,1.1,2.4,3.7,6.6,-1.3,0.6,2.0,3.3,5.8,1.3,3.5,4.8,6.6,10.2,0.1,1.9,3.8,5.7,8.5,-0.1,1.7,3.1,4.5,7.3,-1.6,0.4,1.8,3.3,5.7,3.5
5645,-93.75,49.125,-0.2,1.7,2.9,4.4,7.2,-1.2,0.9,2.4,4.0,6.6,-0.8,1.1,2.4,3.7,6.6,-1.3,0.6,2.0,3.3,5.8,1.3,3.5,4.8,6.6,10.2,0.1,1.9,3.8,5.7,8.5,-0.1,1.7,3.0,4.5,7.3,-1.6,0.4,1.8,3.3,5.7,3.5
5646,-93.625,49.125,-0.3,1.6,2.9,4.4,7.2,-1.2,0.9,2.4,4.0,6.6,-0.8,1.1,2.4,3.7,6.5,-1.3,0.6,1.9,3.3,5.8,1.3,3.5,4.8,6.6,10.2,0.1,1.9,3.8,5.7,8.5,-0.1,1.7,3.1,4.5,7.3,-1.6,0.4,1.8,3.3,5.6,3.4
5647,-93.5,49.125,-0.3,1.6,2.9,4.4,7.1,-1.2,0.9,2.4,4.0,6.6,-0.8,1.1,2.4,3.7,6.5,-1.3,0.6,1.9,3.3,5.9,1.3,3.5,4.8,6.6,10.2,0.1,1.9,3.8,5.7,8.5,-0.1,1.7,3.1,4.5,7.3,-1.6,0.4,1.8,3.3,5.6,3.4
5648,-93.375,49.125,-0.3,1.6,2.9,4.4,7.1,-1.2,0.9,2.4,4.0,6.6,-0.8,1.1,2.4,3.7,6.5,-1.3,0.6,1.9,3.3,5.9,1.3,3.5,4.8,6.6,10.2,0.1,1.9,3.8,5.7,8.5,-0.1,1.7,3.1,4.5,7.3,-1.6,0.4,1.8,3.3,5.6,3.3
5649,-93.25,49.125,-0.2,1.6,2.9,4.4,7.2,-1.2,0.9,2.4,4.0,6.6,-0.8,1.1,2.4,3.7,6.5,-1.3,0.6,1.9,3.4,5.9,1.3,3.5,4.8,6.6,10.2,0.1,1.9,3.8,5.7,8.5,-0.1,1.7,3.1,4.5,7.4,-1.6,0.4,1.8,3.3,5.6,3.2
