RCPs,RegName,Data_  1,Data_  2,Data_  3,Data_  4,Data_  5,Data_  6,Data_  7,Data_  8,Data_  9,Data_ 10,Data_ 11,Data_ 12,Data_ 13,Data_ 14,Data_ 15,Data_ 16,Data_ 17,Data_ 18,Data_ 19,Data_ 20,Data_ 21,Data_ 22,Data_ 23,Data_ 24,Data_ 25,Data_ 26,Data_ 27,Data_ 28,Data_ 29,Data_ 30,Data_ 31,Data_ 32,Data_ 33,Data_ 34,Data_ 35,Data_ 36,Data_ 37,Data_ 38,Data_ 39,Data_ 40,Data_ 41,Data_ 42,Data_ 43,Data_ 44,Data_ 45,Data_ 46,Data_ 47,Data_ 48,Data_ 49,Data_ 50,Data_ 51,Data_ 52,Data_ 53,Data_ 54,Data_ 55,Data_ 56,Data_ 57,Data_ 58,Data_ 59,Data_ 60,Data_ 61,Data_ 62,Data_ 63,Data_ 64,Data_ 65,Data_ 66,Data_ 67,Data_ 68,Data_ 69,Data_ 70,Data_ 71,Data_ 72,Data_ 73,Data_ 74,Data_ 75,Data_ 76,Data_ 77,Data_ 78,Data_ 79,Data_ 80,Data_ 81,Data_ 82,Data_ 83,Data_ 84,Data_ 85,Data_ 86,Data_ 87,Data_ 88,Data_ 89,Data_ 90,Data_ 91,Data_ 92,Data_ 93,Data_ 94,Data_ 95,Data_ 96,Data_ 97,Data_ 98,Data_ 99,Data_100,Data_101,Data_102,Data_103,Data_104,Data_105,Data_106,Data_107,Data_108,Data_109,Data_110,Data_111,Data_112,Data_113,Data_114,Data_115,Data_116,Data_117,Data_118,Data_119
RCP2.6,	HALDIMAND-NORFOLK,5.5,4.8,4.5,4.7,4.5,4.8,4.5,4.4,4.8,4.5,4.8,3.9,4.7,4.8,5.2,5.1,5.3,4.9,5.1,5.1,5.5,6.1,5.6,5.3,5.6,5.1,5.4,5.6,5.9,6.1,5.4,6.2,5.6,5.5,5.6,6.1,5.6,6.3,5.6,6.3,5.7,6.1,6.1,6.3,5.7,6.5,7,6.3,6.4,6.6,6.3,6.2,6.2,6.4,6.4,6.8,6.1,6.9,6.1,6.2,6.7,6.3,6.1,6.6,6.6,6.5,6.5,6.5,6.6,7.2,7.2,6.6,6.3,6.5,6.5,6.3,6.3,6.3,6.3,6.6,6.8,6.3,5.8,6,7.2,6.4,6.5,6.7,6.8,6.6,7,5.9,6.7,7,6.3,6.5,6.4,6.9,6.8,6.6,6.3,6.5,6.3,6.9,6.5,6.8,6.7,7.1,6.8,6.7,6.7,6.6,6.9,6.4,6.3,6.4,6.1,6.4,6.1
RCP2.6,	HALIBURTON,1.4,0.9,0.4,0.6,0.7,0.7,0.5,0.6,0.9,0.4,0.6,-0.1,0.6,0.9,1.3,1.2,1.4,1,1.2,1.2,1.7,2.3,1.6,1.4,1.6,1.1,1.3,1.7,2.2,2.3,1.6,2.5,1.9,1.7,1.9,2.4,1.7,2.7,1.8,2.7,2,2.4,2.4,2.3,1.8,2.8,3.2,2.6,2.6,2.7,2.4,2.5,2.1,2.8,3,3,2.4,3.2,2.5,2.6,2.9,2.6,2.2,2.8,3,2.8,2.7,2.6,2.9,3.7,3.3,2.9,2.5,2.7,2.7,2.6,2.7,2.6,2.6,2.9,3.1,2.5,2,2,3.4,2.7,2.7,3.2,3.1,3.1,3.3,2,3,3.4,2.5,2.8,2.7,3,3.1,3.1,2.8,3,2.3,3.4,2.7,3.1,3,3.6,3.1,3.1,2.9,3.2,3.2,2.5,2.8,2.5,2.4,2.7,2.2
RCP2.6,	HALTON,4.6,4,3.6,3.8,3.7,3.9,3.6,3.6,4,3.6,3.9,3.1,3.8,3.9,4.3,4.2,4.5,4.1,4.3,4.3,4.7,5.3,4.7,4.5,4.8,4.3,4.5,4.8,5.1,5.3,4.6,5.4,4.8,4.7,4.8,5.3,4.8,5.5,4.9,5.5,4.9,5.3,5.4,5.4,4.8,5.7,6.2,5.5,5.6,5.8,5.5,5.4,5.3,5.6,5.7,6,5.4,6.1,5.3,5.4,5.9,5.5,5.3,5.8,5.9,5.8,5.8,5.7,5.8,6.4,6.4,5.9,5.5,5.7,5.7,5.5,5.6,5.6,5.6,5.8,6,5.5,5.1,5.2,6.4,5.6,5.7,6,6,5.9,6.2,5.1,6,6.3,5.5,5.8,5.6,6.1,6.1,5.9,5.6,5.8,5.6,6.1,5.8,6.1,6,6.4,6.1,6,5.9,5.9,6.1,5.5,5.6,5.6,5.4,5.6,5.3
RCP2.6,	HAMILTON-WENTWORTH,5.1,4.5,4.1,4.3,4.1,4.4,4.1,4.1,4.4,4.1,4.4,3.6,4.3,4.4,4.8,4.7,4.9,4.5,4.8,4.7,5.2,5.7,5.2,5,5.3,4.8,5,5.3,5.5,5.8,5,5.9,5.2,5.2,5.3,5.8,5.3,6,5.3,6,5.3,5.7,5.8,5.9,5.3,6.1,6.7,6,6.1,6.3,6,5.9,5.8,6.1,6.2,6.4,5.8,6.6,5.8,5.9,6.4,6,5.7,6.2,6.3,6.2,6.2,6.1,6.2,6.8,6.8,6.3,6,6.1,6.1,6,6,6,6,6.3,6.4,6,5.5,5.7,6.8,6.1,6.1,6.4,6.5,6.4,6.7,5.6,6.4,6.7,6,6.2,6.1,6.6,6.5,6.3,6.1,6.2,6,6.6,6.2,6.5,6.4,6.8,6.5,6.4,6.3,6.4,6.6,6,6,6.1,5.8,6.1,5.8
RCP2.6,	HASTINGS,2.7,2.2,1.7,1.8,1.9,2,1.8,1.8,2.1,1.7,1.9,1.2,1.9,2.1,2.5,2.5,2.6,2.3,2.4,2.4,2.9,3.5,2.8,2.7,2.9,2.4,2.6,2.9,3.3,3.5,2.9,3.6,3,2.9,3,3.5,2.9,3.9,3,3.9,3.2,3.6,3.5,3.5,3,4,4.3,3.8,3.8,3.9,3.6,3.6,3.3,3.9,4.1,4.2,3.5,4.4,3.6,3.7,4.1,3.8,3.4,4,4.2,4,3.9,3.8,4,4.8,4.4,4.1,3.7,3.8,3.9,3.8,3.9,3.8,3.8,4.1,4.3,3.7,3.3,3.2,4.5,3.8,3.9,4.3,4.2,4.2,4.4,3.2,4.2,4.5,3.7,3.9,3.8,4.2,4.3,4.2,3.9,4.1,3.5,4.5,3.9,4.2,4.1,4.8,4.2,4.2,4.1,4.3,4.3,3.7,4,3.7,3.5,3.9,3.4
RCP2.6,	HURON,4.6,3.8,3.4,3.7,3.5,3.7,3.5,3.5,3.8,3.4,3.8,3,3.7,3.9,4.3,4.1,4.3,3.9,4.1,4.1,4.5,5.1,4.6,4.3,4.6,4.1,4.4,4.7,5,5.3,4.4,5.3,4.7,4.6,4.7,5.2,4.7,5.4,4.7,5.4,4.7,5.2,5.2,5.4,4.7,5.6,6.1,5.4,5.5,5.6,5.4,5.3,5.2,5.5,5.6,5.8,5.2,6,5.2,5.3,5.8,5.3,5.1,5.6,5.7,5.6,5.6,5.6,5.7,6.3,6.2,5.7,5.3,5.6,5.5,5.4,5.4,5.5,5.5,5.7,5.8,5.4,4.8,5.1,6.3,5.5,5.5,5.9,5.9,5.8,6.1,4.9,5.8,6.1,5.3,5.7,5.5,6.1,5.8,5.8,5.5,5.6,5.4,6,5.6,5.9,5.8,6.3,5.9,5.8,5.7,5.8,5.9,5.4,5.4,5.5,5.2,5.5,5.2
RCP2.6,	Island-county-stat,1.3,0.4,0,0.4,0.7,0.4,0.4,0.6,0.7,0.1,0.4,-0.3,0.4,0.8,1.3,1,1.2,0.7,1,0.9,1.6,1.8,1.6,0.9,1.1,0.9,1.2,1.6,2.5,2.4,1.1,2.4,1.8,1.7,1.7,2.2,1.3,2.6,1.6,2.4,1.8,2.2,2.3,2.3,1.1,2.4,3,2.4,2.5,2.3,2.2,2.3,2,2.6,3,2.3,2.2,3.1,2.4,2.5,2.8,2.3,1.9,2.5,3,2.4,2.3,2.7,2.9,3.4,3.1,2.8,2.3,2.6,2.3,2.7,2.3,2.6,2.7,2.7,2.6,2.3,1.6,2,3.3,2.4,2.1,2.9,3,2.7,3.1,1.8,2.7,3,2.2,2.7,2.4,3,2.7,3,2.6,2.9,2.2,3.2,2.4,2.7,3.1,3.4,2.8,2.8,2.5,3,2.7,2.2,2.6,2.2,2.2,2.5,2.1
RCP2.6,	KENORA,-6.7,-8.1,-8.6,-7.2,-6.4,-7.7,-7.2,-6.9,-7,-8.2,-7.5,-7.5,-7.7,-7.1,-6.1,-7.3,-6.5,-7.4,-6.5,-6.6,-5.5,-5.9,-5.3,-6.5,-7.4,-7.1,-6.6,-5.7,-4.1,-4.4,-7.1,-5,-5.3,-5.3,-5.5,-5.4,-6.7,-4.7,-5.8,-5.4,-5.8,-5.2,-5,-5.8,-6.9,-5.7,-4.7,-5,-4.2,-5.8,-5.9,-5.1,-5.4,-4.5,-4.3,-6.2,-5.3,-3.7,-4.3,-4.4,-4.7,-5.1,-6.5,-5.1,-4.3,-4.5,-5.4,-4.3,-4.4,-4.1,-4.6,-4.3,-5.1,-5.1,-5,-4.2,-5.1,-5.1,-4.1,-4.4,-5,-5,-5.9,-5.2,-3.9,-5.3,-5.8,-4.3,-4.1,-4.9,-4.2,-5.4,-4.6,-4.4,-5.3,-4.5,-4.8,-4.7,-4.7,-4.1,-4.5,-4.3,-5.1,-4.3,-5.6,-4.6,-4,-3.9,-4.7,-4.5,-4.8,-4.1,-5.1,-5.4,-5.1,-5.5,-5.2,-5,-5
RCP2.6,	KENT,6,5.2,4.9,5.1,4.8,5.2,4.8,4.7,5.2,4.8,5.2,4.2,5,5.2,5.6,5.4,5.7,5.3,5.5,5.4,5.8,6.5,6,5.7,6.1,5.5,5.8,6,6.2,6.7,5.7,6.6,6,5.9,6,6.5,6,6.7,6,6.7,6.1,6.5,6.6,6.9,6,6.9,7.5,6.8,6.9,7.1,6.8,6.6,6.7,6.8,6.8,7.2,6.5,7.4,6.5,6.6,7.1,6.7,6.5,7.1,7,6.8,7,6.9,7,7.6,7.6,7,6.7,6.9,6.8,6.7,6.7,6.7,6.9,7,7.1,6.7,6.1,6.4,7.7,6.8,6.8,7.2,7.2,7.1,7.5,6.3,7,7.4,6.7,7,6.8,7.5,7.2,7,6.7,6.8,6.8,7.3,6.9,7.3,7.2,7.5,7.4,7.1,7.1,7,7.4,6.9,6.6,6.9,6.5,6.9,6.6
RCP2.6,	LAMBTON,5.5,4.7,4.4,4.6,4.3,4.6,4.3,4.2,4.7,4.3,4.7,3.7,4.5,4.7,5.1,5,5.2,4.7,4.9,5,5.3,6,5.5,5.1,5.6,5,5.3,5.5,5.8,6.2,5.2,6.2,5.6,5.4,5.5,6,5.5,6.2,5.6,6.2,5.6,6,6.1,6.3,5.5,6.4,7,6.3,6.4,6.6,6.3,6.1,6.2,6.4,6.4,6.7,6.1,7,6,6.1,6.7,6.2,6,6.6,6.6,6.4,6.5,6.4,6.6,7.2,7.2,6.6,6.2,6.5,6.3,6.2,6.2,6.3,6.4,6.5,6.7,6.3,5.6,5.9,7.2,6.3,6.3,6.8,6.8,6.6,7,5.8,6.6,7,6.2,6.6,6.3,7,6.7,6.6,6.3,6.4,6.3,6.9,6.5,6.8,6.7,7.1,6.9,6.6,6.6,6.6,6.9,6.3,6.2,6.4,6,6.4,6.1
RCP2.6,	LANARK,2.8,2.4,1.8,1.9,2,2.1,1.9,2,2.2,1.8,2,1.3,1.9,2.3,2.7,2.7,2.8,2.5,2.6,2.5,3.1,3.8,2.9,2.9,3.1,2.4,2.7,3,3.4,3.6,3.1,3.7,3.2,3,3.2,3.7,3.1,4,3.1,4.1,3.3,3.8,3.7,3.6,3.3,4.2,4.4,3.9,3.9,4.1,3.8,3.8,3.5,4.1,4.3,4.4,3.6,4.5,3.7,3.9,4.2,4,3.5,4.2,4.3,4.2,4.1,3.9,4.1,5,4.5,4.2,3.8,4,4.1,3.9,4.1,3.9,3.9,4.2,4.4,3.8,3.4,3.3,4.7,3.9,4,4.5,4.3,4.4,4.6,3.3,4.4,4.7,3.9,4.1,4,4.3,4.5,4.3,4.1,4.2,3.6,4.7,4,4.4,4.2,5,4.3,4.4,4.3,4.5,4.6,3.8,4.1,3.8,3.7,4,3.6
RCP2.6,	LEEDSandGRENVILLE,3.4,3.1,2.6,2.6,2.7,2.8,2.6,2.6,2.8,2.6,2.7,2,2.7,2.9,3.3,3.4,3.5,3.2,3.2,3.2,3.8,4.4,3.6,3.6,3.8,3.2,3.4,3.8,4,4.2,3.8,4.4,3.9,3.7,3.9,4.4,3.8,4.7,3.8,4.7,4,4.4,4.4,4.3,4,4.8,5.1,4.6,4.6,4.8,4.5,4.5,4.2,4.8,5,5.1,4.4,5.2,4.4,4.6,4.9,4.7,4.2,4.9,5,4.9,4.9,4.6,4.7,5.6,5.3,4.9,4.5,4.6,4.8,4.6,4.7,4.6,4.6,4.9,5.1,4.5,4.1,4,5.3,4.6,4.8,5.2,5,5.1,5.3,4,5.1,5.4,4.6,4.8,4.7,4.9,5.2,5,4.8,4.9,4.4,5.4,4.7,5.1,4.9,5.6,5,5.1,5,5.1,5.3,4.5,4.8,4.5,4.4,4.7,4.3
RCP2.6,	LENNOXandADDINGTON,3.2,2.8,2.2,2.4,2.4,2.5,2.3,2.3,2.6,2.2,2.4,1.7,2.4,2.6,3,3,3.2,2.8,2.9,2.9,3.4,4.1,3.3,3.2,3.4,2.9,3.1,3.4,3.8,3.9,3.4,4.1,3.5,3.4,3.6,4,3.5,4.4,3.5,4.4,3.7,4.1,4,4,3.6,4.5,4.8,4.2,4.3,4.4,4.1,4.1,3.9,4.4,4.6,4.7,4,4.9,4.1,4.2,4.6,4.3,3.9,4.5,4.6,4.5,4.5,4.3,4.5,5.3,4.9,4.6,4.2,4.3,4.4,4.3,4.4,4.3,4.3,4.5,4.8,4.2,3.8,3.7,5,4.3,4.4,4.8,4.7,4.7,4.9,3.7,4.7,5,4.2,4.4,4.3,4.6,4.8,4.7,4.4,4.6,4,5,4.4,4.8,4.6,5.2,4.7,4.7,4.6,4.8,4.9,4.2,4.4,4.2,4,4.4,3.9
RCP2.6,	MANITOULIN,3,2.3,1.8,2.2,2.3,2.2,2.1,2.2,2.5,1.9,2.2,1.5,2.2,2.5,2.9,2.8,2.9,2.5,2.7,2.7,3.2,3.6,3.1,2.6,3,2.5,2.8,3.1,3.9,3.9,2.8,3.9,3.3,3.2,3.3,3.8,3.1,4.2,3.3,4.1,3.3,3.9,3.9,3.9,3,4.1,4.6,4.1,3.9,4,3.8,3.9,3.6,4.2,4.4,4.2,3.9,4.6,3.9,4,4.4,4,3.6,4.2,4.5,4,4,4.1,4.5,5,4.7,4.3,3.9,4.2,4.1,4.1,4,4.1,4.2,4.2,4.5,3.9,3.4,3.6,4.8,4,4,4.6,4.5,4.4,4.7,3.5,4.3,4.6,3.8,4.3,4,4.7,4.4,4.6,4.2,4.4,3.8,4.8,4.1,4.4,4.5,5,4.4,4.4,4.2,4.5,4.4,3.9,4.3,4,3.8,4.1,3.7
RCP2.6,METROPOLITAN-TORONTO,4.6,4,3.6,3.8,3.7,3.9,3.6,3.6,4,3.6,3.9,3.1,3.8,3.9,4.3,4.2,4.4,4.1,4.3,4.3,4.7,5.3,4.7,4.5,4.8,4.3,4.5,4.8,5.1,5.3,4.6,5.4,4.8,4.7,4.8,5.3,4.8,5.6,4.9,5.5,4.9,5.3,5.3,5.4,4.9,5.7,6.2,5.5,5.6,5.8,5.5,5.4,5.3,5.6,5.8,6,5.3,6.1,5.3,5.4,5.9,5.5,5.3,5.7,5.9,5.8,5.7,5.7,5.8,6.4,6.3,5.8,5.5,5.7,5.7,5.5,5.5,5.5,5.5,5.8,6,5.5,5,5.2,6.3,5.6,5.7,6,6,5.9,6.2,5.1,5.9,6.3,5.5,5.8,5.6,6.1,6,5.9,5.6,5.8,5.5,6.1,5.7,6,5.9,6.4,6,5.9,5.9,5.9,6.1,5.5,5.6,5.6,5.3,5.6,5.3
